pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 14
maximum energy[1/cm] = 7362

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P1->P2
      21.0487   5.0264e-15
      21.0087  5.48323e-15
      20.9687  5.98154e-15
      20.9287  6.52497e-15
      20.8886  7.11761e-15
      20.8486  7.76389e-15
      20.8086  8.46861e-15
      20.7686  9.23722e-15
      20.7285  1.00752e-14
      20.6885  1.09891e-14
      20.6485  1.19856e-14
      20.6084  1.30721e-14
      20.5684  1.42569e-14
      20.5284  1.55486e-14
      20.4884  1.69569e-14
      20.4483  1.84924e-14
      20.4083  2.01665e-14
      20.3683  2.19917e-14
      20.3283  2.39815e-14
      20.2882  2.61506e-14
      20.2482  2.85153e-14
      20.2082  3.10931e-14
      20.1681  3.39031e-14
      20.1281  3.69662e-14
      20.0881  4.03051e-14
      20.0481  4.39445e-14
       20.008  4.79114e-14
       19.968  5.22352e-14
       19.928  5.69477e-14
      19.8879  6.20838e-14
      19.8479  6.76817e-14
      19.8079  7.37825e-14
      19.7679   8.0431e-14
      19.7278  8.76767e-14
      19.6878  9.55725e-14
      19.6478  1.04177e-13
      19.6078  1.13553e-13
      19.5677   1.2377e-13
      19.5277  1.34903e-13
      19.4877  1.47034e-13
      19.4476  1.60251e-13
      19.4076  1.74652e-13
      19.3676  1.90342e-13
      19.3276  2.07437e-13
      19.2875  2.26061e-13
      19.2475  2.46351e-13
      19.2075  2.68454e-13
      19.1675  2.92534e-13
      19.1274  3.18765e-13
      19.0874  3.47338e-13
      19.0474  3.78463e-13
      19.0073  4.12367e-13
      18.9673  4.49295e-13
      18.9273  4.89518e-13
      18.8873  5.33326e-13
      18.8472   5.8104e-13
      18.8072  6.33006e-13
      18.7672    6.896e-13
      18.7272  7.51233e-13
      18.6871  8.18353e-13
      18.6471  8.91446e-13
      18.6071  9.71039e-13
       18.567  1.05771e-12
       18.527  1.15208e-12
       18.487  1.25485e-12
       18.447  1.36673e-12
      18.4069  1.48856e-12
      18.3669  1.62119e-12
      18.3269  1.76559e-12
      18.2868   1.9228e-12
      18.2468  2.09395e-12
      18.2068  2.28027e-12
      18.1668  2.48309e-12
      18.1267  2.70388e-12
      18.0867  2.94421e-12
      18.0467  3.20581e-12
      18.0067  3.49056e-12
      17.9666  3.80048e-12
      17.9266   4.1378e-12
      17.8866  4.50492e-12
      17.8465  4.90447e-12
      17.8065   5.3393e-12
      17.7665   5.8125e-12
      17.7265  6.32745e-12
      17.6864  6.88782e-12
      17.6464  7.49758e-12
