========================================
c2h6rad_W1_Energy_1_34.9759.out
1.0 atm
T,P1->W1
200.0,5.53974e-11
210.0,5.4921e-11
220.0,5.44341e-11
230.0,5.39404e-11
240.0,5.34422e-11
250.0,5.29423e-11
260.0,5.24424e-11
270.0,5.19441e-11
280.0,5.14489e-11
290.0,5.09574e-11
300.0,5.047e-11
310.0,4.99872e-11
320.0,4.95087e-11
330.0,4.90344e-11
340.0,4.85637e-11
350.0,4.80952e-11
360.0,4.76312e-11
370.0,4.71679e-11
380.0,4.67044e-11
390.0,4.62421e-11
400.0,4.57775e-11
410.0,4.53121e-11
420.0,4.48435e-11
430.0,4.43702e-11
440.0,4.38931e-11
450.0,4.34098e-11
460.0,4.29219e-11
470.0,4.24275e-11
480.0,4.19238e-11
490.0,4.14144e-11
500.0,4.08956e-11
510.0,4.03695e-11
520.0,3.98363e-11
530.0,3.92923e-11
540.0,3.87418e-11
550.0,3.81832e-11
560.0,3.76146e-11
570.0,3.70403e-11
580.0,3.64574e-11
590.0,3.58691e-11
600.0,3.5274e-11
610.0,3.46709e-11
620.0,3.40642e-11
630.0,3.34508e-11
640.0,3.28352e-11
650.0,3.22167e-11
660.0,3.15927e-11
670.0,3.09689e-11
680.0,3.03409e-11
690.0,2.97152e-11
700.0,2.90883e-11
800.0,2.29522e-11
900.0,1.74282e-11
1000.0,1.28262e-11
1100.0,9.20927e-12
1200.0,6.48887e-12
1300.0,4.50706e-12
1400.0,3.09817e-12
1500.0,2.11366e-12
1600.0,1.43542e-12
1700.0,9.71215e-13
1800.0,6.56314e-13
1900.0,4.43063e-13
2000.0,3.00015e-13
2100.0,2.03366e-13
2200.0,1.38385e-13
2300.0,9.4343e-14
2400.0,6.48988e-14
2500.0,4.47969e-14
2600.0,3.12383e-14
2700.0,2.1909e-14
