Temperature = 298K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
       37.177  3.22095e-34
       37.034   4.0553e-34
      36.8911  5.10572e-34
      36.7481  6.42816e-34
      36.6051  8.09305e-34
      36.4622   1.0189e-33
      36.3192  1.28277e-33
      36.1763  1.61496e-33
      36.0333  2.03314e-33
      35.8904  2.55959e-33
      35.7474  3.22232e-33
      35.6045   4.0566e-33
      35.4615  5.10683e-33
      35.3185  6.42888e-33
      35.1756  8.09311e-33
      35.0326   1.0188e-32
      34.8897  1.28251e-32
      34.7467  1.61446e-32
      34.6038   2.0323e-32
      34.4608  2.55826e-32
      34.3179   3.2203e-32
      34.1749  4.05363e-32
      34.0319  5.10254e-32
       33.889   6.4228e-32
       33.746  8.08458e-32
      33.6031  1.01762e-31
      33.4601  1.28088e-31
      33.3172  1.61224e-31
      33.1742  2.02928e-31
      33.0313  2.55419e-31
      32.8883  3.21483e-31
      32.7454  4.04629e-31
      32.6024  5.09275e-31
      32.4594  6.40978e-31
      32.3165  8.06732e-31
      32.1735  1.01534e-30
      32.0306  1.27787e-30
      31.8876  1.60826e-30
      31.7447  2.02406e-30
      31.6017  2.54733e-30
      31.4588  3.20585e-30
      31.3158  4.03455e-30
      31.1728  5.07741e-30
      31.0299  6.38975e-30
      30.8869  8.04121e-30
       30.744  1.01194e-29
       30.601  1.27345e-29
      30.4581  1.60252e-29
      30.3151  2.01661e-29
      30.1722  2.53767e-29
      30.0292  3.19332e-29
      29.8862  4.01833e-29
      29.7433  5.05643e-29
      29.6003  6.36263e-29
      29.4574  8.00617e-29
      29.3144  1.00741e-28
      29.1715  1.26761e-28
      29.0285  1.59499e-28
      28.8856  2.00691e-28
      28.7426  2.52517e-28
      28.5996  3.17723e-28
      28.4567  3.99762e-28
      28.3137  5.02978e-28
      28.1708  6.32837e-28
      28.0278  7.96214e-28
      27.8849  1.00176e-27
      27.7419  1.26035e-27
       27.599  1.58567e-27
       27.456  1.99494e-27
       27.313  2.50981e-27
      27.1701  3.15754e-27
      27.0271  3.97238e-27
      26.8842  4.99744e-27
      26.7412  6.28693e-27
      26.5983  7.90907e-27
      26.4553  9.94962e-27
      26.3124  1.25165e-26
      26.1694  1.57454e-26
      26.0265   1.9807e-26
      25.8835   2.4916e-26
      25.7405  3.13425e-26
      25.5976  3.94261e-26
      25.4546  4.95939e-26
      25.3117  6.23832e-26
      25.1687  7.84696e-26
      25.0258  9.87029e-26
      24.8828  1.24152e-25
      24.7399  1.56161e-25
      24.5969  1.96419e-25
      24.4539  2.47054e-25
       24.311  3.10737e-25
       24.168  3.90832e-25
      24.0251  4.91565e-25
      23.8821  6.18254e-25
      23.7392  7.77583e-25
      23.5962  9.77962e-25
      23.4533  1.22996e-24
      23.3103  1.54688e-24
      23.1673  1.94542e-24
      23.0244  2.44663e-24
      22.8814  3.07691e-24
      22.7385  3.86952e-24
      22.5955  4.86625e-24
      22.4526  6.11964e-24
      22.3096  7.69576e-24
      22.1667  9.67769e-24
      22.0237  1.21699e-23
      21.8807  1.53037e-23
      21.7378  1.92442e-23
      21.5948   2.4199e-23
      21.4519  3.04291e-23
      21.3089  3.82627e-23
       21.166  4.81124e-23
       21.023  6.04969e-23
      20.8801  7.60681e-23
      20.7371   9.5646e-23
      20.5941  1.20261e-22
      20.4512  1.51209e-22
      20.3082  1.90119e-22
      20.1653  2.39038e-22
      20.0223   3.0054e-22
      19.8794  3.77862e-22
      19.7364   4.7507e-22
      19.5935  5.97277e-22
      19.4505  7.50912e-22
      19.3075  9.44052e-22
      19.1646  1.18685e-21
      19.0216  1.49208e-21
      18.8787  1.87578e-21
      18.7357  2.35812e-21
      18.5928  2.96445e-21
      18.4498  3.72663e-21
      18.3069  4.68471e-21
      18.1639  5.88903e-21
       18.021  7.40284e-21
       17.878  9.30565e-21
       17.735  1.16974e-20
      17.5921  1.47037e-20
      17.4491  1.84824e-20
      17.3062  2.32318e-20
      17.1632  2.92012e-20
      17.0203  3.67041e-20
      16.8773   4.6134e-20
      16.7344  5.79859e-20
      16.5914  7.28815e-20
      16.4484  9.16023e-20
      16.3055   1.1513e-19
      16.1625  1.44699e-19
      16.0196   1.8186e-19
      15.8766  2.28561e-19
      15.7337   2.8725e-19
      15.5907  3.61004e-19
      15.4478  4.53689e-19
      15.3048  5.70163e-19
      15.1618  7.16527e-19
      15.0189  9.00452e-19
      14.8759  1.13157e-18
       14.733  1.42199e-18
        14.59  1.78693e-18
      14.4471  2.24549e-18
      14.3041  2.82168e-18
      14.1612  3.54567e-18
      14.0182  4.45536e-18
      13.8752  5.59836e-18
      13.7323  7.03449e-18
      13.5893  8.83889e-18
      13.4464   1.1106e-17
      13.3034  1.39544e-17
      13.1605   1.7533e-17
      13.0175  2.20291e-17
      12.8746  2.76777e-17
      12.7316  3.47742e-17
      12.5886  4.36896e-17
      12.4457  5.48899e-17
      12.3027  6.89606e-17
      12.1598  8.66368e-17
      12.0168  1.08842e-16
      11.8739  1.36737e-16
      11.7309  1.71778e-16
       11.588  2.15796e-16
       11.445   2.7109e-16
       11.302  3.40546e-16
      11.1591   4.2779e-16
      11.0161  5.37379e-16
      10.8732   6.7503e-16
      10.7302  8.47929e-16
      10.5873   1.0651e-15
      10.4443  1.33786e-15
      10.3014  1.68046e-15
      10.1584  2.11076e-15
      10.0155  2.65119e-15
       9.8725  3.32995e-15
      9.72954  4.18241e-15
      9.58659  5.25303e-15
      9.44363   6.5976e-15
      9.30067   8.2862e-15
      9.15772  1.04068e-14
      9.01476  1.30699e-14
      8.87181  1.64143e-14
      8.72885  2.06141e-14
       8.5859  2.58881e-14
      8.44294  3.25109e-14
      8.29999  4.08272e-14
      8.15703  5.12702e-14
      8.01408  6.43832e-14
      7.87112  8.08487e-14
      7.72817  1.01524e-13
      7.58521  1.27483e-13
      7.44226  1.60079e-13
       7.2993  2.01005e-13
      7.15634   2.5239e-13
      7.01339  3.16907e-13
      6.87043  3.97908e-13
      6.72748  4.99606e-13
      6.58452  6.27286e-13
      6.44157  7.87583e-13
      6.29861  9.88826e-13
      6.15566  1.24147e-12
       6.0127  1.55864e-12
      5.86975  1.95681e-12
      5.72679  2.45665e-12
      5.58384  3.08411e-12
      5.44088  3.87178e-12
      5.29793  4.86054e-12
      5.15497   6.1017e-12
      5.01201  7.65966e-12
      4.86906  9.61526e-12
       4.7261  1.20699e-11
      4.58315   1.5151e-11
      4.44019  1.90183e-11
      4.29724  2.38723e-11
      4.15428  2.99646e-11
      4.01133  3.76111e-11
      3.86837   4.7208e-11
      3.72542  5.92527e-11
      3.58246  7.43693e-11
      3.43951  9.33407e-11
      3.29655   1.1715e-10
      3.15359  1.47029e-10
      3.01064  1.84527e-10
      2.86768  2.31583e-10
      2.72473  2.90634e-10
      2.58177  3.64736e-10
      2.43882  4.57724e-10
      2.29586  5.74408e-10
      2.15291  7.20826e-10
      2.00995  9.04549e-10
        1.867  1.13508e-09
      1.72404  1.42434e-09
      1.58109  1.78728e-09
      1.43813  2.24266e-09
      1.29518  2.81402e-09
      1.15222  3.53088e-09
      1.00926  4.43027e-09
     0.866309  5.55866e-09
     0.723354  6.97433e-09
     0.580399  8.75038e-09
     0.437443  1.09785e-08
     0.294488  1.37738e-08
     0.151533  1.72804e-08
   0.00857732  2.16793e-08
    -0.134378  2.71976e-08
    -0.277333  3.41198e-08
    -0.420289  4.28031e-08
    -0.563244  5.36953e-08
    -0.706199   6.7358e-08
    -0.849155  8.44955e-08
     -0.99211  1.05991e-07
     -1.13507  1.32953e-07
     -1.27802   1.6677e-07
     -1.42098  2.09185e-07
     -1.56393  2.62382e-07
     -1.70689  3.29102e-07
     -1.84984  4.12779e-07
      -1.9928  5.17723e-07
     -2.13575  6.49335e-07
     -2.27871  8.14388e-07
     -2.42166  1.02138e-06
     -2.56462  1.28095e-06
     -2.70757  1.60646e-06
     -2.85053  2.01465e-06
     -2.99348  2.52651e-06
     -3.13644  3.16836e-06
      -3.2794  3.97319e-06
     -3.42235  4.98237e-06
     -3.56531  6.24774e-06
