Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  8.53404e-56  4.97453e-16
  300  7.51431e-42  1.73653e-14
  400  6.19582e-35  1.04504e-13
  600  4.59744e-28    6.594e-13
  800  1.26507e-24  1.74901e-12
 1000  1.55267e-22     3.28e-12
 1200  4.08084e-21  5.17152e-12
 1400  4.45566e-20  7.38331e-12
 1600  2.80545e-19  9.90216e-12
 1800  1.22093e-18  1.27289e-11
 2000  4.09327e-18  1.58709e-11
 2200  1.13277e-17  1.93384e-11
 2400  2.70994e-17  2.31426e-11
 2600  5.78729e-17  2.72951e-11
 2800  1.12906e-16  3.18072e-11
 3000  2.04687e-16    3.669e-11
